label,score_id,performance_id
match,n15,n12
match,n22,n21
match,n4,n3
match,n35,n32
insertion,,n40
match,n6,n5
match,n11,n9
match,n17,n16
match,n20,n19
match,n25,n24
match,n31,n30
match,n37,n39
insertion,,n36
match,n40,n44
match,n3,n2
match,n8,n7
match,n34,n34
match,n38,n41
match,n14,n14
match,n18,n17
match,n21,n20
match,n28,n27
match,n1,n0
match,n5,n4
match,n10,n10
match,n16,n15
match,n19,n18
match,n24,n23
match,n30,n29
match,n36,n38
insertion,,n35
match,n39,n46
deletion,n47,
match,n7,n6
match,n13,n13
match,n27,n26
match,n2,n1
match,n9,n8
match,n33,n33
match,n12,n11
match,n29,n28
match,n23,n22
match,n26,n25
match,n32,n31
match,n53,n50
match,n74,n71
match,n62,n61
deletion,n42,
match,n50,n49
match,n55,n54
match,n59,n58
match,n65,n64
match,n70,n69
match,n77,n76
match,n82,n81
deletion,n45,
match,n67,n66
deletion,n41,
match,n73,n73
match,n79,n78
match,n56,n55
match,n61,n60
match,n69,n68
match,n76,n75
match,n81,n80
match,n72,n72
match,n78,n77
insertion,,n82
match,n52,n52
match,n58,n57
match,n66,n65
match,n75,n74
match,n80,n79
match,n44,n43
match,n49,n48
match,n64,n63
match,n68,n67
match,n71,n70
match,n48,n47
match,n63,n62
match,n43,n42
match,n46,n45
match,n54,n53
match,n60,n59
match,n57,n56
match,n51,n51
match,n85,n84
match,n99,n97
match,n107,n105
match,n118,n117
match,n89,n88
match,n96,n95
match,n101,n100
match,n104,n102
match,n110,n109
match,n115,n114
match,n121,n120
match,n126,n125
match,n98,n98
match,n102,n101
match,n84,n83
match,n92,n91
match,n88,n87
match,n95,n93
match,n100,n99
match,n103,n103
match,n83,n90
match,n117,n116
match,n123,n122
match,n128,n128
deletion,n91,
match,n106,n106
match,n112,n111
match,n87,n86
match,n94,n94
match,n97,n96
match,n109,n108
match,n114,n113
match,n120,n119
match,n125,n124
match,n93,n92
match,n111,n110
match,n86,n85
match,n90,n89
match,n105,n104
match,n113,n112
match,n122,n121
match,n108,n107
match,n116,n115
match,n124,n123
match,n119,n118
match,n129,n127
match,n137,n135
match,n159,n158
insertion,,n169
match,n147,n145
match,n131,n130
match,n135,n134
match,n139,n138
match,n145,n144
match,n149,n148
match,n155,n154
match,n161,n159
match,n164,n163
match,n158,n157
match,n162,n161
match,n146,n146
match,n152,n150
match,n136,n136
match,n142,n140
match,n160,n162
match,n163,n168
insertion,,n160
match,n133,n132
match,n157,n156
match,n130,n129
match,n134,n133
match,n138,n137
match,n144,n143
match,n148,n147
match,n166,n167
deletion,n154,
match,n132,n131
match,n143,n142
match,n153,n152
match,n141,n141
match,n151,n151
match,n140,n139
match,n150,n149
match,n156,n155
match,n127,n126
match,n179,n175
match,n186,n184
match,n168,n166
match,n199,n205
insertion,,n198
match,n170,n174
match,n175,n180
match,n181,n183
match,n184,n188
match,n189,n194
match,n195,n200
match,n201,n203
match,n204,n208
match,n167,n165
match,n172,n171
match,n198,n196
match,n202,n204
match,n178,n178
match,n182,n181
match,n185,n185
match,n192,n190
match,n169,n173
match,n174,n179
match,n180,n182
match,n183,n187
match,n188,n193
match,n194,n199
match,n200,n202
match,n203,n210
deletion,n211,
match,n171,n170
match,n177,n177
match,n191,n191
match,n173,n172
match,n197,n197
match,n176,n176
match,n193,n192
match,n165,n164
match,n187,n186
match,n190,n189
match,n196,n195
match,n217,n214
match,n238,n237
match,n226,n225
deletion,n206,
match,n214,n213
match,n219,n218
match,n223,n222
match,n229,n228
match,n234,n233
match,n241,n240
match,n246,n245
deletion,n209,
match,n231,n230
deletion,n205,
match,n237,n235
match,n243,n242
match,n220,n219
match,n225,n224
match,n233,n232
match,n240,n239
match,n245,n243
match,n236,n236
match,n242,n241
match,n216,n216
match,n222,n221
match,n230,n229
match,n239,n238
match,n244,n244
match,n208,n207
match,n213,n212
match,n228,n227
match,n232,n231
match,n235,n234
insertion,,n256
match,n212,n211
match,n227,n226
match,n207,n206
match,n210,n209
match,n218,n217
match,n224,n223
match,n221,n220
match,n215,n215
match,n249,n247
match,n263,n262
match,n272,n270
match,n286,n284
match,n253,n252
match,n260,n259
match,n265,n264
match,n268,n267
match,n276,n273
match,n283,n281
match,n289,n288
match,n294,n293
match,n262,n261
match,n266,n265
match,n248,n248
match,n256,n255
match,n252,n251
match,n259,n257
match,n264,n263
match,n267,n266
match,n247,n246
match,n255,n254
match,n285,n285
match,n291,n290
match,n271,n271
match,n279,n278
match,n251,n250
match,n258,n258
match,n261,n260
match,n275,n275
match,n282,n280
match,n288,n287
match,n293,n292
match,n257,n269
match,n270,n277
match,n297,n296
deletion,n278,
match,n250,n249
match,n254,n253
match,n274,n274
match,n281,n282
match,n290,n289
match,n300,n299
match,n284,n283
match,n292,n291
match,n269,n268
match,n280,n279
match,n287,n286
match,n273,n272
match,n277,n276
match,n298,n297
match,n354,n353
match,n366,n365
match,n375,n374
match,n361,n359
match,n311,n310
match,n326,n325
match,n333,n331
match,n340,n337
match,n347,n345
match,n325,n322
match,n332,n327
match,n339,n336
match,n346,n343
match,n353,n349
match,n360,n367
match,n368,n375
match,n374,n378
deletion,n381,
match,n324,n324
match,n331,n332
match,n338,n339
match,n345,n346
match,n352,n351
match,n367,n366
match,n373,n373
match,n359,n355
match,n301,n300
match,n308,n307
match,n314,n313
match,n319,n318
match,n323,n323
match,n330,n329
match,n337,n338
match,n344,n344
match,n351,n352
match,n365,n364
match,n372,n372
match,n358,n360
match,n336,n334
match,n310,n309
match,n316,n315
match,n321,n321
match,n343,n342
match,n364,n363
match,n304,n303
match,n329,n330
match,n349,n350
match,n371,n370
match,n307,n305
match,n313,n312
match,n318,n317
match,n378,n381
deletion,n357,
match,n303,n302
match,n322,n319
match,n328,n328
match,n335,n335
match,n342,n341
match,n350,n348
match,n356,n362
match,n363,n371
deletion,n370,
match,n296,n295
match,n306,n306
match,n315,n314
match,n309,n308
match,n317,n316
match,n295,n294
match,n305,n304
match,n312,n311
match,n334,n333
match,n299,n298
match,n302,n301
match,n320,n320
match,n341,n340
match,n362,n361
match,n377,n377
match,n327,n326
match,n348,n347
match,n369,n369
match,n376,n376
deletion,n355,
match,n410,n408
match,n382,n380
match,n399,n399
match,n404,n403
match,n395,n395
match,n380,n382
match,n407,n406
match,n412,n411
match,n379,n379
match,n397,n397
match,n401,n401
match,n394,n393
match,n398,n398
match,n409,n409
deletion,n403,
match,n396,n396
match,n400,n400
match,n384,n384
match,n386,n386
match,n390,n390
match,n406,n404
match,n411,n410
match,n383,n383
match,n385,n385
match,n388,n388
match,n392,n392
match,n391,n391
match,n408,n407
match,n393,n394
match,n405,n405
match,n389,n389
match,n402,n402
match,n387,n387
match,n430,n429
match,n439,n438
deletion,n447,
match,n419,n417
match,n424,n423
match,n435,n434
match,n443,n442
deletion,n449,
match,n415,n413
match,n427,n425
match,n432,n431
match,n437,n435
match,n445,n444
deletion,n454,
match,n441,n439
match,n417,n416
match,n421,n420
match,n434,n433
deletion,n442,
match,n438,n437
match,n446,n441
match,n414,n414
match,n418,n418
match,n436,n436
deletion,n444,
match,n440,n440
match,n448,n443
match,n423,n422
match,n429,n428
match,n416,n415
match,n420,n419
match,n426,n426
match,n431,n430
match,n433,n432
match,n428,n427
match,n413,n412
match,n425,n424
match,n422,n421
match,n453,n451
match,n452,n453
match,n451,n452
match,n450,n449
insertion,,n37
insertion,,n201
insertion,,n356
insertion,,n357
insertion,,n354
insertion,,n445
insertion,,n447
insertion,,n446
insertion,,n448
