label,score_id,performance_id
deletion,n2,
deletion,n4,
deletion,n6,
match,n8,n1
deletion,n1,
deletion,n3,
deletion,n5,
match,n7,n0
match,n10,n5
match,n14,n9
deletion,n12,
match,n9,n4
match,n13,n8
deletion,n11,
match,n18,n16
match,n22,n20
match,n17,n13
match,n21,n15
insertion,,n21
match,n16,n17
match,n20,n19
match,n15,n12
match,n19,n14
insertion,,n18
match,n26,n25
match,n30,n28
match,n34,n33
match,n25,n23
match,n29,n27
match,n33,n32
match,n24,n24
match,n28,n29
match,n32,n31
match,n23,n22
match,n27,n26
match,n31,n30
match,n39,n37
match,n43,n41
match,n38,n36
match,n42,n40
match,n41,n42
match,n37,n38
match,n36,n35
match,n35,n34
match,n40,n39
match,n53,n50
match,n49,n47
match,n52,n51
match,n46,n44
match,n51,n52
match,n45,n45
match,n48,n48
match,n50,n49
match,n47,n46
match,n44,n43
match,n62,n58
match,n66,n63
match,n57,n55
match,n61,n60
deletion,n56,
match,n60,n57
match,n65,n62
match,n55,n54
match,n64,n64
match,n54,n53
match,n59,n59
match,n58,n56
match,n63,n61
match,n73,n70
match,n69,n67
match,n72,n71
deletion,n76,
match,n68,n65
match,n71,n69
match,n67,n66
match,n70,n68
match,n77,n74
match,n85,n82
match,n81,n79
match,n80,n78
match,n84,n83
match,n79,n77
match,n75,n73
match,n83,n81
match,n82,n80
match,n78,n76
match,n74,n72
match,n89,n86
match,n97,n93
match,n93,n90
match,n92,n89
match,n96,n94
deletion,n88,
match,n91,n88
match,n87,n85
match,n95,n92
match,n86,n84
match,n94,n91
match,n90,n87
match,n102,n99
match,n106,n102
match,n101,n98
match,n105,n103
deletion,n109,
match,n104,n101
match,n100,n97
match,n99,n96
match,n98,n95
match,n103,n100
match,n114,n109
match,n119,n116
match,n110,n106
match,n113,n111
match,n118,n115
match,n108,n105
match,n112,n110
match,n117,n114
match,n116,n113
match,n115,n112
match,n111,n108
match,n107,n104
match,n123,n120
match,n127,n122
match,n131,n128
match,n130,n127
match,n122,n119
match,n126,n121
match,n125,n124
match,n129,n126
match,n121,n118
match,n124,n123
match,n128,n125
match,n120,n117
match,n134,n129
match,n143,n136
deletion,n139,
match,n133,n131
match,n132,n130
match,n138,n133
deletion,n142,
match,n141,n135
deletion,n137,
match,n136,n134
deletion,n140,
match,n135,n132
match,n146,n145
match,n145,n139
match,n150,n144
insertion,,n147
match,n144,n137
match,n149,n142
insertion,,n146
match,n148,n149
insertion,,n140
match,n147,n148
insertion,,n138
match,n155,n154
match,n160,n156
match,n165,n163
match,n154,n153
match,n159,n157
match,n164,n162
match,n153,n152
match,n158,n159
match,n163,n164
match,n152,n151
match,n157,n158
match,n162,n161
match,n151,n150
match,n156,n155
match,n161,n160
match,n171,n168
match,n176,n172
match,n170,n167
match,n175,n174
match,n174,n173
deletion,n178,
match,n169,n169
deletion,n173,
match,n168,n170
match,n167,n166
match,n166,n165
match,n172,n171
match,n186,n182
match,n182,n179
match,n185,n184
match,n179,n176
match,n184,n183
match,n181,n180
match,n183,n181
match,n180,n178
match,n177,n175
match,n195,n190
match,n199,n196
match,n190,n187
match,n194,n193
match,n189,n188
match,n193,n191
match,n198,n194
match,n188,n186
match,n197,n197
match,n187,n185
match,n192,n192
match,n191,n189
match,n196,n195
match,n206,n202
match,n202,n199
match,n205,n203
deletion,n209,
deletion,n201,
match,n204,n201
match,n200,n198
match,n203,n200
match,n210,n206
match,n218,n213
match,n214,n210
match,n213,n207
match,n217,n214
match,n212,n209
match,n208,n205
match,n216,n212
match,n215,n211
match,n211,n208
match,n207,n204
match,n222,n218
match,n230,n225
match,n226,n221
match,n221,n216
match,n225,n222
match,n229,n226
match,n224,n220
match,n220,n217
match,n228,n224
match,n219,n215
match,n227,n223
match,n223,n219
match,n235,n230
match,n239,n235
match,n234,n231
match,n238,n233
deletion,n242,
match,n237,n234
match,n233,n229
match,n232,n228
match,n231,n227
match,n236,n232
match,n247,n242
match,n252,n248
match,n243,n239
match,n246,n243
match,n251,n247
match,n241,n238
match,n245,n241
match,n250,n246
match,n249,n245
match,n248,n244
match,n244,n240
match,n240,n236
match,n256,n252
match,n260,n254
match,n264,n260
match,n263,n259
match,n255,n250
match,n259,n253
match,n258,n256
match,n262,n258
match,n254,n251
match,n257,n255
match,n261,n257
match,n253,n249
match,n271,n267
deletion,n274,
match,n267,n261
match,n266,n263
match,n270,n266
deletion,n273,
match,n265,n262
match,n269,n265
deletion,n272,
match,n268,n264
match,n276,n270
match,n281,n276
match,n277,n271
match,n280,n277
match,n275,n269
deletion,n279,
match,n278,n275
match,n291,n283
match,n296,n288
match,n286,n282
match,n295,n289
deletion,n290,
match,n289,n285
match,n285,n278
match,n294,n290
match,n284,n279
match,n288,n286
deletion,n293,
match,n287,n284
match,n283,n281
match,n292,n287
match,n282,n280
match,n301,n294
match,n306,n300
deletion,n312,
match,n305,n299
deletion,n311,
match,n300,n295
match,n299,n293
match,n298,n292
match,n304,n298
deletion,n309,
match,n303,n297
deletion,n308,
match,n297,n291
match,n302,n296
deletion,n307,
match,n316,n308
match,n320,n312
match,n310,n305
match,n315,n310
match,n319,n313
match,n314,n309
match,n318,n314
match,n317,n311
match,n313,n307
match,n330,n321
match,n335,n325
match,n325,n319
match,n334,n326
deletion,n329,
match,n328,n322
match,n324,n315
match,n333,n327
