label,score_id,performance_id
match,n1,n0
match,n2,n2
match,n3,n3
match,n4,n1
match,n5,n5
match,n6,n4
match,n7,n6
match,n8,n7
match,n9,n8
match,n10,n9
match,n11,n10
match,n12,n11
match,n13,n13
match,n14,n14
match,n15,n12
match,n16,n15
match,n17,n16
match,n18,n17
match,n19,n19
match,n20,n18
match,n21,n20
match,n22,n21
match,n23,n22
match,n24,n23
match,n25,n24
deletion,n26,
match,n27,n25
match,n28,n26
match,n29,n27
match,n30,n28
match,n31,n29
match,n32,n30
match,n33,n32
match,n34,n33
match,n35,n31
match,n36,n34
match,n37,n35
match,n38,n36
match,n39,n37
match,n40,n38
match,n41,n40
match,n42,n39
match,n43,n41
match,n44,n43
match,n45,n42
match,n46,n44
match,n47,n45
match,n48,n46
match,n49,n47
match,n50,n48
match,n51,n49
match,n52,n51
match,n53,n50
match,n54,n52
match,n55,n53
match,n56,n54
match,n57,n55
match,n58,n56
match,n59,n57
match,n60,n58
match,n61,n60
match,n62,n59
match,n63,n61
match,n64,n62
match,n65,n63
match,n66,n64
match,n67,n65
match,n68,n67
match,n69,n66
match,n70,n68
match,n71,n69
match,n72,n72
match,n73,n71
match,n74,n70
match,n75,n73
match,n76,n74
match,n77,n75
match,n78,n77
match,n79,n76
match,n80,n78
match,n81,n79
match,n82,n80
match,n83,n83
match,n84,n81
match,n85,n82
match,n86,n85
match,n87,n84
match,n88,n86
match,n89,n87
match,n90,n88
match,n91,n89
match,n92,n90
match,n93,n92
match,n94,n91
match,n95,n94
match,n96,n93
match,n97,n95
match,n98,n97
match,n99,n96
match,n100,n98
match,n101,n99
match,n102,n100
match,n103,n102
match,n104,n101
match,n105,n104
match,n106,n103
match,n107,n105
match,n108,n106
match,n109,n108
match,n110,n107
match,n111,n110
match,n112,n109
match,n113,n112
match,n114,n111
match,n115,n113
match,n116,n114
match,n117,n116
match,n118,n115
match,n119,n117
match,n120,n118
match,n121,n119
match,n122,n120
match,n123,n121
match,n124,n122
match,n125,n123
deletion,n126,
match,n127,n124
match,n128,n125
match,n129,n126
match,n130,n127
match,n131,n128
match,n132,n129
match,n133,n130
match,n134,n132
match,n135,n131
match,n136,n133
match,n137,n134
match,n138,n136
match,n139,n135
match,n140,n137
match,n141,n139
match,n142,n138
match,n143,n140
match,n144,n141
match,n145,n142
match,n146,n144
match,n147,n143
match,n148,n146
match,n149,n145
match,n150,n147
match,n151,n149
