label,score_id,performance_id
match,n1,n0
match,n2,n1
match,n3,n3
match,n4,n2
match,n5,n4
match,n6,n5
match,n7,n6
match,n8,n7
match,n9,n8
match,n10,n9
match,n11,n10
match,n12,n11
match,n13,n12
match,n14,n13
match,n15,n14
match,n16,n15
match,n17,n16
match,n18,n17
match,n19,n18
match,n20,n19
match,n21,n20
match,n22,n21
match,n23,n22
match,n24,n24
match,n25,n25
match,n26,n26
match,n27,n27
match,n28,n28
match,n29,n29
match,n30,n32
match,n31,n31
match,n32,n33
match,n33,n34
match,n34,n36
match,n35,n35
match,n36,n37
match,n37,n38
match,n38,n39
match,n39,n40
match,n40,n41
match,n41,n43
match,n42,n42
match,n43,n44
match,n44,n46
match,n45,n45
match,n46,n47
match,n47,n48
match,n48,n49
match,n49,n51
match,n50,n50
match,n51,n53
match,n52,n54
match,n53,n52
match,n54,n55
match,n55,n56
match,n56,n57
match,n57,n58
match,n58,n59
match,n59,n60
match,n60,n61
match,n61,n63
match,n62,n62
match,n63,n64
match,n64,n66
match,n65,n65
match,n66,n67
match,n67,n68
match,n68,n69
match,n69,n70
match,n70,n71
match,n71,n72
match,n72,n73
match,n73,n75
match,n74,n74
match,n75,n77
match,n76,n76
match,n77,n78
match,n78,n79
match,n79,n80
match,n80,n82
match,n81,n83
match,n82,n81
match,n83,n84
match,n84,n86
match,n85,n85
match,n86,n87
match,n87,n89
match,n88,n88
match,n89,n90
match,n90,n91
match,n91,n92
match,n92,n93
match,n93,n94
match,n94,n96
match,n95,n97
match,n96,n95
match,n97,n99
match,n98,n100
match,n99,n98
match,n100,n101
match,n101,n102
match,n102,n103
match,n103,n104
match,n104,n105
match,n105,n106
match,n106,n108
match,n107,n107
match,n108,n109
match,n109,n111
match,n110,n110
match,n111,n112
match,n112,n113
match,n113,n114
match,n114,n116
match,n115,n115
match,n116,n117
match,n117,n119
match,n118,n118
match,n119,n120
match,n120,n122
match,n121,n121
match,n122,n123
match,n123,n124
match,n124,n125
match,n125,n126
match,n126,n127
match,n127,n129
match,n128,n130
match,n129,n128
match,n130,n131
match,n131,n132
match,n132,n133
match,n133,n134
match,n134,n135
match,n135,n136
match,n136,n137
match,n137,n138
match,n138,n139
match,n139,n140
match,n140,n141
match,n141,n143
match,n142,n142
match,n143,n144
deletion,n144,
match,n145,n145
match,n146,n146
match,n147,n147
match,n148,n148
match,n149,n149
match,n150,n150
match,n151,n151
match,n152,n152
match,n153,n153
deletion,n154,
match,n155,n154
match,n156,n155
match,n157,n156
match,n158,n157
match,n159,n158
match,n160,n159
match,n161,n160
match,n162,n161
match,n163,n162
match,n164,n163
match,n165,n164
match,n166,n167
match,n167,n166
match,n168,n165
match,n169,n168
match,n170,n169
match,n171,n170
match,n172,n171
match,n173,n172
match,n174,n174
match,n175,n173
match,n176,n175
match,n177,n177
match,n178,n178
match,n179,n176
match,n180,n179
match,n181,n180
match,n182,n181
match,n183,n183
match,n184,n182
match,n185,n185
match,n186,n184
match,n187,n186
match,n188,n188
match,n189,n189
match,n190,n190
match,n191,n192
match,n192,n191
match,n193,n193
match,n194,n196
match,n195,n195
match,n196,n197
match,n197,n199
match,n198,n200
match,n199,n198
match,n200,n201
match,n201,n202
match,n202,n203
match,n203,n204
match,n204,n205
match,n205,n207
match,n206,n206
match,n207,n208
match,n208,n209
match,n209,n210
match,n210,n211
match,n211,n212
match,n212,n213
match,n213,n215
match,n214,n214
match,n215,n217
match,n216,n218
match,n217,n216
match,n218,n219
match,n219,n220
match,n220,n221
match,n221,n222
match,n222,n223
match,n223,n224
match,n224,n225
match,n225,n226
match,n226,n227
match,n227,n228
match,n228,n229
match,n229,n230
match,n230,n231
match,n231,n232
match,n232,n233
match,n233,n234
match,n234,n235
match,n235,n237
match,n236,n239
match,n237,n238
match,n238,n236
match,n239,n240
match,n240,n241
match,n241,n242
match,n242,n243
match,n243,n244
match,n244,n245
match,n245,n246
match,n246,n247
match,n247,n249
match,n248,n250
match,n249,n248
match,n250,n251
match,n251,n253
match,n252,n254
match,n253,n252
match,n254,n255
match,n255,n257
match,n256,n256
match,n257,n258
match,n258,n260
match,n259,n259
match,n260,n261
match,n261,n263
match,n262,n264
match,n263,n262
match,n264,n265
match,n265,n266
match,n266,n267
match,n267,n268
match,n268,n269
match,n269,n271
match,n270,n272
match,n271,n273
match,n272,n270
match,n273,n276
match,n274,n274
match,n275,n277
match,n276,n275
match,n277,n278
match,n278,n279
match,n279,n280
match,n280,n281
match,n281,n283
match,n282,n284
match,n283,n282
match,n284,n285
match,n285,n287
match,n286,n286
match,n287,n288
match,n288,n289
match,n289,n290
match,n290,n291
match,n291,n292
match,n292,n293
match,n293,n295
match,n294,n294
match,n295,n297
match,n296,n298
match,n297,n299
match,n298,n296
match,n299,n300
