label,score_id,performance_id
match,n1-1,n0
match,n6-1,n1
match,n7-1,n2
match,n2-1,n3
deletion,n8-1,
insertion,,n4
insertion,,n5
match,n3-1,n6
match,n9-1,n8
match,n10-1,n7
match,n4-1,n10
match,n11-1,n9
match,n12-1,n11
match,n5-1,n12
match,n13-1,n13
match,n14-1,n14
match,n15-1,n16
match,n20-1,n15
match,n21-1,n17
match,n16-1,n19
match,n22-1,n18
match,n17-1,n20
match,n23-1,n22
match,n24-1,n21
match,n18-1,n24
match,n25-1,n23
match,n26-1,n25
match,n19-1,n26
match,n27-1,n27
match,n28-1,n28
match,n29-1,n30
match,n33-1,n29
match,n34-1,n31
match,n30-1,n33
match,n36-1,n32
match,n35-1,n34
match,n31-1,n36
match,n37-1,n35
match,n38-1,n37
match,n32-1,n38
match,n39-1,n39
match,n40-1,n40
match,n41-1,n42
match,n49-1,n41
match,n50-1,n43
match,n42-1,n44
match,n43-1,n45
match,n51-1,n46
match,n44-1,n47
match,n45-1,n48
match,n46-1,n49
match,n52-1,n50
match,n47-1,n51
match,n48-1,n52
match,n53-1,n53
match,n58-1,n54
match,n59-1,n55
match,n54-1,n57
match,n60-1,n56
match,n55-1,n58
match,n61-1,n60
match,n62-1,n59
match,n56-1,n61
match,n63-1,n62
match,n64-1,n63
match,n57-1,n64
match,n65-1,n65
match,n66-1,n66
match,n67-1,n67
match,n72-1,n68
match,n73-1,n69
match,n68-1,n71
match,n74-1,n70
match,n69-1,n72
match,n75-1,n73
match,n76-1,n74
match,n70-1,n77
match,n77-1,n76
match,n78-1,n75
match,n71-1,n80
match,n80-1,n79
match,n79-1,n78
match,n81-1,n82
match,n87-1,n81
match,n88-1,n83
match,n82-1,n85
match,n89-1,n84
match,n90-1,n86
match,n83-1,n88
match,n91-1,n87
match,n92-1,n89
match,n84-1,n90
match,n85-1,n91
match,n86-1,n93
match,n93-1,n92
match,n94-1,n94
match,n95-1,n97
match,n96-1,n96
match,n105-1,n95
match,n97-1,n100
match,n98-1,n99
deletion,n99-1,
match,n100-1,n101
match,n106-1,n98
match,n101-1,n102
match,n102-1,n103
match,n103-1,n104
match,n107-1,n105
match,n1-2,n106
match,n6-2,n108
match,n7-2,n107
match,n2-2,n110
match,n8-2,n109
match,n3-2,n111
match,n9-2,n113
match,n10-2,n112
match,n4-2,n114
match,n11-2,n116
match,n12-2,n115
match,n5-2,n117
match,n13-2,n118
match,n14-2,n119
match,n15-2,n121
match,n20-2,n120
match,n21-2,n122
match,n16-2,n124
match,n22-2,n123
match,n17-2,n125
match,n23-2,n127
match,n24-2,n126
match,n18-2,n128
match,n25-2,n130
match,n26-2,n129
match,n19-2,n131
match,n27-2,n133
match,n28-2,n132
match,n29-2,n135
match,n33-2,n134
match,n34-2,n136
match,n30-2,n137
match,n36-2,n139
match,n35-2,n138
match,n31-2,n141
match,n37-2,n140
match,n38-2,n142
match,n32-2,n143
match,n39-2,n144
match,n40-2,n145
match,n41-2,n146
match,n49-2,n148
match,n50-2,n147
match,n42-2,n149
match,n43-2,n151
match,n51-2,n150
match,n44-2,n152
match,n45-2,n153
match,n46-2,n154
match,n52-2,n155
match,n47-2,n156
match,n48-2,n157
match,n53-2,n158
match,n58-2,n159
match,n59-2,n160
match,n54-2,n161
match,n60-2,n162
match,n55-2,n163
match,n61-2,n165
match,n62-2,n164
match,n56-2,n166
match,n63-2,n167
match,n64-2,n168
match,n57-2,n171
match,n65-2,n169
match,n66-2,n170
match,n67-2,n173
match,n72-2,n172
match,n73-2,n174
match,n68-2,n176
match,n74-2,n175
match,n69-2,n177
match,n75-2,n178
match,n76-2,n179
match,n70-2,n181
match,n77-2,n180
match,n78-2,n182
match,n71-2,n185
match,n80-2,n183
match,n79-2,n184
match,n81-2,n186
match,n87-2,n187
match,n88-2,n188
match,n82-2,n189
match,n89-2,n190
match,n90-2,n191
match,n83-2,n192
match,n91-2,n194
match,n92-2,n193
match,n84-2,n195
match,n85-2,n197
match,n86-2,n196
match,n93-2,n198
match,n94-2,n199
match,n95-2,n200
match,n96-2,n202
match,n105-2,n201
match,n97-2,n204
match,n98-2,n205
deletion,n99-2,
match,n100-2,n206
match,n106-2,n203
insertion,,n207
match,n101-2,n208
match,n102-2,n211
match,n103-2,n210
match,n107-2,n209
match,n109-1,n212
match,n114-1,n213
match,n115-1,n214
match,n110-1,n215
match,n111-1,n216
match,n116-1,n217
