label,score_id,performance_id
match,n6-1,n1
match,n16-1,n9
match,n9-1,n2
deletion,n12-1,
match,n8-1,n4
match,n11-1,n7
match,n7-1,n3
match,n10-1,n6
match,n1-1,n0
match,n5-1,n8
match,n4-1,n5
match,n26-1,n18
match,n29-1,n20
match,n19-1,n12
match,n22-1,n17
match,n28-1,n21
match,n18-1,n10
match,n21-1,n14
match,n27-1,n19
match,n17-1,n11
match,n20-1,n15
match,n15-1,n16
match,n14-1,n13
match,n38-1,n30
match,n32-1,n26
match,n41-1,n32
match,n44-1,n38
match,n31-1,n24
match,n40-1,n34
match,n43-1,n36
match,n30-1,n25
match,n39-1,n33
match,n42-1,n37
match,n25-1,n23
match,n33-1,n27
match,n37-1,n35
match,n24-1,n22
match,n36-1,n28
match,n34-1,n31
match,n35-1,n29
match,n48-1,n39
match,n58-1,n49
match,n51-1,n42
match,n54-1,n45
match,n50-1,n41
match,n53-1,n47
match,n49-1,n40
match,n52-1,n46
match,n47-1,n44
match,n55-1,n48
match,n46-1,n43
match,n68-1,n58
match,n71-1,n62
match,n70-1,n60
match,n61-1,n52
match,n64-1,n57
match,n60-1,n50
match,n63-1,n55
match,n69-1,n61
match,n59-1,n51
match,n62-1,n56
match,n57-1,n54
match,n65-1,n59
match,n56-1,n53
match,n74-1,n64
match,n73-1,n67
match,n77-1,n70
match,n76-1,n68
match,n72-1,n66
match,n75-1,n69
match,n66-1,n63
match,n67-1,n65
match,n1-2,n71
match,n6-2,n72
match,n16-2,n81
match,n9-2,n74
match,n12-2,n79
match,n8-2,n75
match,n11-2,n80
match,n7-2,n73
match,n10-2,n77
match,n5-2,n78
match,n4-2,n76
match,n26-2,n90
match,n29-2,n91
match,n19-2,n84
match,n22-2,n89
match,n28-2,n92
match,n18-2,n83
match,n21-2,n87
match,n27-2,n93
match,n17-2,n82
match,n20-2,n86
match,n15-2,n88
match,n14-2,n85
match,n38-2,n103
match,n32-2,n98
match,n41-2,n104
match,n44-2,n110
match,n31-2,n95
match,n40-2,n105
match,n43-2,n108
match,n30-2,n97
match,n39-2,n106
match,n42-2,n109
match,n25-2,n96
match,n33-2,n99
match,n37-2,n107
match,n24-2,n94
match,n34-2,n100
match,n36-2,n102
match,n35-2,n101
match,n48-2,n111
match,n58-2,n121
match,n51-2,n112
match,n54-2,n118
match,n50-2,n114
match,n53-2,n119
match,n49-2,n113
match,n52-2,n117
match,n47-2,n116
match,n55-2,n120
match,n46-2,n115
match,n68-2,n130
match,n71-2,n132
match,n70-2,n134
match,n61-2,n124
match,n64-2,n129
match,n60-2,n122
match,n63-2,n128
match,n69-2,n133
match,n59-2,n123
match,n62-2,n127
match,n57-2,n126
match,n65-2,n131
match,n56-2,n125
match,n74-2,n136
match,n73-2,n138
match,n77-2,n142
match,n76-2,n140
match,n72-2,n139
match,n75-2,n141
match,n79-1,n143
match,n66-2,n135
match,n67-2,n137
match,n78-1,n144
match,n86-1,n145
match,n99-1,n158
match,n89-1,n149
match,n92-1,n155
match,n88-1,n150
match,n91-1,n156
match,n87-1,n148
match,n90-1,n154
match,n83-1,n151
match,n85-1,n152
match,n94-1,n159
match,n81-1,n147
match,n82-1,n146
match,n84-1,n153
match,n93-1,n157
match,n111-1,n169
match,n102-1,n162
match,n105-1,n168
match,n114-1,n174
match,n113-1,n173
match,n101-1,n161
deletion,n104-1,
match,n100-1,n163
match,n103-1,n166
match,n112-1,n172
match,n95-1,n160
match,n96-1,n164
match,n98-1,n165
match,n106-1,n170
match,n97-1,n167
match,n107-1,n171
match,n125-1,n180
match,n130-1,n191
match,n128-1,n185
deletion,n117-1,
match,n116-1,n176
match,n127-1,n183
match,n129-1,n192
match,n126-1,n184
match,n115-1,n179
match,n120-1,n186
match,n124-1,n188
match,n108-1,n175
match,n110-1,n178
match,n119-1,n181
match,n123-1,n189
match,n109-1,n177
match,n118-1,n182
match,n122-1,n190
match,n121-1,n187
match,n142-1,n197
match,n152-1,n209
match,n144-1,n206
deletion,n153-1,
match,n141-1,n198
match,n143-1,n200
match,n134-1,n195
match,n137-1,n202
match,n147-1,n205
